id,category,category_JP,category_EN,category_ZH,category_KR,JP,EN,ZH,KR
1,existence,存在,Existence,存在,존재,今あなたにとって本当に大切なものとは何ですか,What is what truly matters to you right now?,此刻，对你来说，真正重要的东西是什么？,지금 당신에게 진정으로 중요한 것은(는) 무엇인가요?
2,fear,恐れ,Fear,恐惧,두려움,今日のあなたは恐れにどう向き合いますか,How are you facing fear today?,今天，你要如何面对恐惧？,오늘 당신은 두려움에 어떻게 마주하나요?
3,release,手放す,Release,放下,놓아줌,あなたは手放せないものから何を学んでいますか,What is what you cannot let go of teaching you?,你放不下的东西正在教会你什么？,놓지 못하는 것은(는) 당신에게 무엇을 가르치고 있나요?
4,hope,希望,Hope,希望,희망,今のあなたに必要な希望は何ですか,What kind of hope do you need right now?,此刻，你需要怎样的希望？,지금의 당신에게 필요한 희망은(는) 무엇인가요?
5,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ思い出す人は誰ですか,Who quietly comes to mind when you think of the person who comes to mind?,当你想到你想起的那个人时，在你心里静静浮现的是谁？,"문득 떠오르는 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
6,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら感謝できることをどう見ますか,"If you paused for a moment, how would you look at what you can be grateful for?",如果你稍微停下来，会如何看待你可以感恩的事？,"잠시 멈춘다면, 감사할 수 있는 것을(를) 어떻게 바라보게 될까요?"
7,reflection,内省,Reflection,反思,성찰,あなたは今の感情を事実として見ていますか それとも解釈として見ていますか,"Are you seeing your feelings right now as fact, or as interpretation?",你看到的你此刻的感受，是事实，还是一种解释？,"당신은 지금의 감정을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
8,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる死は何ですか,What does death honestly feel like to you right now?,此刻，你诚实地感受到的死亡是什么？,지금의 당신이 솔직하게 느끼는 죽음은(는) 무엇인가요?
9,silence,沈黙,Silence,沉默,침묵,あなたは呼吸を感じていますか それとも見過ごしていますか,"Are you sensing your breath, or passing it by?",你是在感受呼吸，还是正在把它忽略过去？,"당신은 호흡을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
10,identity,自己,Identity,自我,자기,今日のあなたにとってなりつつある自分はどんな存在ですか,What kind of presence is the person you are becoming to you today?,今天，对你来说，你正在成为的自己是怎样的存在？,오늘 당신에게 되어 가는 나은(는) 어떤 존재인가요?
11,existence,存在,Existence,存在,존재,あなたの心は自分の人生に何を求めていますか,What is your heart asking of your own life?,你的心向你自己的人生在寻求什么？,당신의 마음은 자기 자신의 삶에 무엇을 바라고 있나요?
12,fear,恐れ,Fear,恐惧,두려움,今のあなたは不安にどんな名前をつけますか,What name would you give to anxiety right now?,此刻，你会给不安取什么名字？,지금의 당신은 불안에 어떤 이름을 붙이고 싶나요?
13,release,手放す,Release,放下,놓아줌,あなたは執着を誰の視線で見ていますか,Through whose eyes are you seeing attachment?,你正透过谁的目光看着执着？,당신은 집착을(를) 누구의 시선으로 보고 있나요?
14,hope,希望,Hope,希望,희망,もし静かに座るなら小さな光は何を語りそうですか,"If you sat quietly, what might a small light say?",如果你安静坐下，微小的光似乎会说些什么？,"조용히 앉아 있다면, 작은 빛은(는) 무엇을 말할 것 같나요?"
15,relationship,関係,Relationship,关系,관계,あなたの中に残っている感謝したい人の灯は何ですか,What small lamp of the person you want to thank still remains within you?,在你心里，仍然留着怎样一盏关于你想感谢的人的灯？,당신 안에는 아직도 감사하고 싶은 사람에 관한 어떤 작은 등불이 남아 있나요?
16,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって今日の恵みとは何ですか,What is today's blessing to you right now?,此刻，对你来说，今天的恩惠是什么？,지금 당신에게 오늘의 은혜은(는) 무엇인가요?
17,reflection,内省,Reflection,反思,성찰,今日のあなたは沈黙にどう向き合いますか,How are you facing silence today?,今天，你要如何面对沉默？,오늘 당신은 침묵에 어떻게 마주하나요?
18,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは最後の日から何を学んでいますか,What is your last day teaching you?,最后一天正在教会你什么？,마지막 날은(는) 당신에게 무엇을 가르치고 있나요?
19,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な静けさは何ですか,What kind of stillness do you need right now?,此刻，你需要怎样的宁静？,지금의 당신에게 필요한 고요은(는) 무엇인가요?
20,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ本当の自分は何ですか,What quietly rises within you when you think of your true self?,想到真正的自己时，在你心里静静浮现的是什么？,"진짜 나을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
21,existence,存在,Existence,存在,존재,もし少し立ち止まるなら生きる理由をどう見ますか,"If you paused for a moment, how would you look at your reason for living?",如果你稍微停下来，会如何看待你活着的理由？,"잠시 멈춘다면, 살아가는 이유을(를) 어떻게 바라보게 될까요?"
22,fear,恐れ,Fear,恐惧,두려움,あなたは避けていることを事実として見ていますか それとも解釈として見ていますか,"Are you seeing what you are avoiding as fact, or as interpretation?",你看到的你正在回避的事，是事实，还是一种解释？,"당신은 당신이 피하고 있는 것을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
23,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる古い役割は何ですか,What does an old role honestly feel like to you right now?,此刻，你诚实地感受到的旧有的角色是什么？,지금의 당신이 솔직하게 느끼는 오래된 역할은(는) 무엇인가요?
24,hope,希望,Hope,希望,희망,あなたは次の一歩を抱えていますか それとも迎え入れ始めていますか,"Are you carrying the next step, or beginning to welcome it?",你是在背负着下一步，还是开始迎接它？,"당신은 다음 한 걸음을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
25,relationship,関係,Relationship,关系,관계,今日のあなたにとって許したい人はどんな存在ですか,What kind of presence is the person you want to forgive to you today?,今天，对你来说，你想原谅的人是怎样的存在？,오늘 당신에게 용서하고 싶은 사람은(는) 어떤 존재인가요?
26,gratitude,感謝,Gratitude,感恩,감사,あなたの心は受け取った助けに何を求めていますか,What is your heart asking of the help you received?,你的心向你得到的帮助在寻求什么？,당신의 마음은 받은 도움에 무엇을 바라고 있나요?
27,reflection,内省,Reflection,反思,성찰,今のあなたは心の声にどんな名前をつけますか,What name would you give to the voice of your heart right now?,此刻，你会给你内心的声音取什么名字？,지금의 당신은 마음의 소리에 어떤 이름을 붙이고 싶나요?
28,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは残したいものを誰の視線で見ていますか,Through whose eyes are you seeing what you want to leave behind?,你正透过谁的目光看着你想留下的东西？,당신은 남기고 싶은 것을(를) 누구의 시선으로 보고 있나요?
29,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら今ここは何を語りそうですか,"If you sat quietly, what might the here and now say?",如果你安静坐下，此时此地似乎会说些什么？,"조용히 앉아 있다면, 지금 여기은(는) 무엇을 말할 것 같나요?"
30,identity,自己,Identity,自我,자기,あなたの中に残っている信じているものの灯は何ですか,What small lamp of what you believe in still remains within you?,在你心里，仍然留着怎样一盏关于你所相信的东西的灯？,당신 안에는 아직도 당신이 믿는 것에 관한 어떤 작은 등불이 남아 있나요?
31,existence,存在,Existence,存在,존재,今あなたにとって今いる場所とは何ですか,What is where you stand now to you right now?,此刻，对你来说，你此刻所站的位置是什么？,지금 당신에게 지금 당신이 서 있는 자리은(는) 무엇인가요?
32,fear,恐れ,Fear,恐惧,두려움,今日のあなたは失うことにどう向き合いますか,How are you facing the possibility of loss today?,今天，你要如何面对失去这件事？,오늘 당신은 잃는 것에 어떻게 마주하나요?
33,release,手放す,Release,放下,놓아줌,あなたは重荷から何を学んでいますか,What is a burden teaching you?,负担正在教会你什么？,짐은(는) 당신에게 무엇을 가르치고 있나요?
34,hope,希望,Hope,希望,희망,今のあなたに必要な信じたい未来は何ですか,What kind of the future you want to believe in do you need right now?,此刻，你需要怎样的你想相信的未来？,지금의 당신에게 필요한 믿고 싶은 미래은(는) 무엇인가요?
35,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ守りたい人は誰ですか,Who quietly comes to mind when you think of the person you want to protect?,当你想到你想守护的人时，在你心里静静浮现的是谁？,"지키고 싶은 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
36,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら残っている温かさをどう見ますか,"If you paused for a moment, how would you look at the warmth that still remains?",如果你稍微停下来，会如何看待仍然留存的温暖？,"잠시 멈춘다면, 남아 있는 따뜻함을(를) 어떻게 바라보게 될까요?"
37,reflection,内省,Reflection,反思,성찰,あなたは自分への厳しさを事実として見ていますか それとも解釈として見ていますか,"Are you seeing your harshness toward yourself as fact, or as interpretation?",你看到的你对自己的苛刻，是事实，还是一种解释？,"당신은 자신에게 향한 엄격함을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
38,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる別れは何ですか,What does parting honestly feel like to you right now?,此刻，你诚实地感受到的离别是什么？,지금의 당신이 솔직하게 느끼는 이별은(는) 무엇인가요?
39,silence,沈黙,Silence,沉默,침묵,あなたは空白を感じていますか それとも見過ごしていますか,"Are you sensing emptiness, or passing it by?",你是在感受空白，还是正在把它忽略过去？,"당신은 공백을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
40,identity,自己,Identity,自我,자기,今日のあなたにとって背負っている役割はどんな存在ですか,What kind of presence is the role you carry to you today?,今天，对你来说，你所背负的角色是怎样的存在？,오늘 당신에게 당신이 짊어진 역할은(는) 어떤 존재인가요?
