id,jp,en,category,zh,kr
1,今あなたが手放せないものは何ですか,What are you holding on to that you no longer need?,release,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
2,もし恐れがなかったら何を選びますか,"If fear disappeared, what would you choose?",fear,如果没有恐惧，你会如何选择？,만약 두려움이 없다면 무엇을 선택하시겠습니까?
3,今あなたに本当に必要なものは何ですか,What do you truly need right now?,self_awareness,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
4,あなたは誰の期待を背負っていますか,Whose expectations are you carrying?,relationships,你正在想着谁？,지금 당신은 누구를 떠올리고 있습니까?
5,あなたが守ろうとしているものは何ですか,What are you trying to protect?,values,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
6,今日が最後の日なら何がいちばん大切ですか,"If today were your last day, what would matter most?",reflection,如果没有恐惧，你会如何选择？,만약 두려움이 없다면 무엇을 선택하시겠습니까?
7,あなたが避けている問いは何ですか,What question are you avoiding?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
8,あなたの沈黙は何を語っていますか,What does your silence say?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
9,今あなたが感謝できることは何ですか,What can you be grateful for right now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
10,あなたは誰になろうとしていますか,Who are you becoming?,reflection,你正在想着谁？,지금 당신은 누구를 떠올리고 있습니까?
11,あなたの人生を動かしているものは何ですか,What is driving your life?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
12,本当に大切なものは何ですか,What truly matters?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
13,あなたは何のために生きていますか,What are you living for?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
14,あなたはどこへ向かっていますか,Where are you going?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
15,あなたが捨てられないものは何ですか,What can you not let go of?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
16,今終わらせるべきことは何ですか,What needs to end now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
17,あなたは何に執着していますか,What are you attached to?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
18,今あなたの心は静かですか,Is your mind quiet right now?,reflection,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
19,あなたは今ここにいますか,Are you here now?,reflection,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
20,あなたは何を恐れていますか,What are you afraid of?,fear,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
21,あなたは何から逃げていますか,What are you running from?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
22,あなたは何を隠していますか,What are you hiding?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
23,あなたは何を愛していますか,What do you love?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
24,あなたは誰を許したいですか,Who do you want to forgive?,reflection,你正在想着谁？,지금 당신은 누구를 떠올리고 있습니까?
25,あなたは自分を許せますか,Can you forgive yourself?,reflection,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
26,あなたの希望はどこにありますか,Where is your hope?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
27,あなたは誰を思い出しますか,Who comes to your mind?,reflection,你正在想着谁？,지금 당신은 누구를 떠올리고 있습니까?
28,あなたは何を後悔していますか,What do you regret?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
29,あなたは何を探していますか,What are you searching for?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
30,今ここで変えられるものは何ですか,What can you change here and now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
31,変えられないものは何ですか,What cannot be changed?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
32,あなたは何を見ないふりをしていますか,What are you pretending not to see?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
33,今日あなたが選びたい一歩は何ですか,What step do you want to choose today?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
34,あなたは誰に感謝を伝えたいですか,Who do you want to thank?,reflection,你正在想着谁？,지금 당신은 누구를 떠올리고 있습니까?
35,あなたは何を信じていますか,What do you believe?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
36,あなたの疲れは何を訴えていますか,What is your fatigue trying to tell you?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
37,今あなたが守るべき境界線は何ですか,What boundary do you need to protect now?,values,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
38,あなたの怒りの奥にあるものは何ですか,What lies beneath your anger?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
39,あなたの悲しみは何を守っていますか,What is your sadness protecting?,values,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
40,あなたの恐れは何を知らせていますか,What is your fear trying to show you?,fear,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
41,あなたは誰のために頑張りすぎていますか,For whom are you trying too hard?,reflection,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
42,あなたの本音は何と言っていますか,What is your honest voice saying?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
43,今あなたが休むべき理由は何ですか,Why do you need rest right now?,reflection,为什么这件事对你重要？,왜 이것이 당신에게 중요합니까?
44,あなたが一番避けたい真実は何ですか,What truth do you most want to avoid?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
45,その人は今も何を残していますか,What does that person still leave within you?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
