category,category_JP,category_EN,category_ZH,category_KR,variant,JP,EN,ZH,KR
self_awareness,自己認識,Self Awareness,自我认知,자기인식,1,その問いは『自分をどう見ているか』を映しています。あなたは今、どんな自分を前提にしてこの問いを抱いていますか。もしその前提を外したら、何が残るでしょう。,"This question reflects how you are seeing yourself. What version of yourself are you assuming as you ask it? If that assumption fell away, what would remain?",这个问题映照出你如何看待自己。此刻提出这个问题时，你预设的是怎样的自己？如果那个预设消失了，还会剩下什么？,이 질문은 당신이 자신을 어떻게 보고 있는지를 비춥니다. 지금 이 질문을 붙들고 있는 당신의 전제는 어떤 나인가요? 그 전제가 사라진다면 무엇이 남을까요?
self_awareness,自己認識,Self Awareness,自我认知,자기인식,2,あなたが理解したいのは、本当の自分ですか。それとも、他者から見える自分ですか。両者を分けて考えると、問いの輪郭はどう変わりますか。,"What are you trying to understand: your true self, or the self visible to others? If you separate those two, how does the shape of the question change?",你想理解的是“真正的自己”，还是“他人眼中的自己”？如果把这两者分开来看，这个问题的轮廓会怎样改变？,"당신이 이해하고 싶은 것은 진짜 자신인가요, 아니면 타인에게 보이는 자신인가요? 둘을 나누어 본다면 질문의 윤곽은 어떻게 달라질까요?"
self_awareness,自己認識,Self Awareness,自我认知,자기인식,3,『自分らしさ』は固定されたものではなく、状況によって変化します。今のあなたを最も強く形づくっている要素は何でしょう。,Your sense of self is not fixed; it shifts with context. What is the strongest element shaping who you are right now?,“像自己”并不是固定不变的，它会随情境而改变。此刻最强烈塑造你的因素是什么？,‘나다움’은 고정된 것이 아니라 상황에 따라 달라집니다. 지금의 당신을 가장 강하게 빚고 있는 요소는 무엇일까요?
meaning,人生の意味,Meaning of Life,生命意义,삶의 의미,1,その問いは『人生に意味があるべきだ』という前提を含んでいます。もし意味が先にあるのではなく、後から形になるものだとしたら、見え方は変わりますか。,"This question contains the assumption that life should have meaning. If meaning is not something given first, but something shaped afterward, does the view change?",这个问题包含了“人生应该有意义”的前提。如果意义不是一开始就存在，而是在经历中逐渐形成的，视角会改变吗？,"이 질문에는 ‘삶에는 의미가 있어야 한다’는 전제가 담겨 있습니다. 의미가 먼저 주어지는 것이 아니라 나중에 빚어지는 것이라면, 보이는 풍경이 달라질까요?"
meaning,人生の意味,Meaning of Life,生命意义,삶의 의미,2,あなたは『意味』を結果として求めていますか。それとも、今の行為の中に見いだそうとしていますか。どちらに立つかで答えは変わります。,"Are you seeking meaning as a result, or trying to find it within what you are doing now? Where you stand changes the answer.",你是在把“意义”当作结果去追求，还是试着在当下的行动中发现它？站的位置不同，答案也会不同。,"당신은 ‘의미’를 결과로서 찾고 있나요, 아니면 지금의 행위 속에서 발견하려 하나요? 어느 쪽에 서느냐에 따라 답은 달라집니다."
meaning,人生の意味,Meaning of Life,生命意义,삶의 의미,3,人生の意味を問うとき、しばしば『何のために』という形になります。しかし、『何によって』生きているかと問うと、別のものが見えるかもしれません。,"When we ask about life’s meaning, we often ask, 'What for?' But if you ask, 'By what am I living?' something different may appear.",问人生意义时，人们常常会问“为了什么”。但如果换成“我是凭借什么活着”，也许会看到不同的东西。,삶의 의미를 물을 때 우리는 종종 ‘무엇을 위해’라고 묻습니다. 하지만 ‘무엇에 의해 살고 있는가’를 묻는다면 다른 것이 보일 수 있습니다.
choice,選択と決断,Choice & Decision,选择与决定,선택과 결정,1,その問いの中心には『選べる自分』がいます。あなたは本当に選択肢を持っていますか。それとも、すでに方向は決まっていて、確認だけを求めていますか。,"At the center of this question is the self who can choose. Do you truly have options, or has the direction already been decided and you are only seeking confirmation?",这个问题的中心，是“能够选择的自己”。你真的拥有选择吗？还是方向其实早已决定，只是在寻求确认？,이 질문의 중심에는 ‘선택할 수 있는 나’가 있습니다. 당신에게 정말 선택지가 있나요? 아니면 이미 방향은 정해져 있고 확인만 바라고 있나요?
choice,選択と決断,Choice & Decision,选择与决定,선택과 결정,2,選ばなかった道は、しばしば実際以上に美しく見えます。あなたが今見ているのは、現実の選択肢ですか。それとも想像の可能性ですか。,"The path not taken often appears more beautiful than it really is. Are you looking at a real option now, or an imagined possibility?",没有选择的那条路，常常会比现实更显得美好。你现在看到的是现实中的选项，还是想象中的可能性？,"선택하지 않은 길은 실제보다 더 아름답게 보이곤 합니다. 지금 당신이 보고 있는 것은 현실의 선택지인가요, 아니면 상상 속 가능성인가요?"
choice,選択と決断,Choice & Decision,选择与决定,선택과 결정,3,決断の難しさは、何を選ぶかだけでなく、何を失うかにもあります。今のあなたは、何を得たいのですか。そして何を失いたくないのですか。,"The difficulty of decision lies not only in what you choose, but in what you lose. What do you want to gain now, and what do you not want to lose?",做决定之所以困难，不只在于要选什么，也在于会失去什么。此刻你想获得什么？又不想失去什么？,결정의 어려움은 무엇을 고를지뿐 아니라 무엇을 잃을지에도 있습니다. 지금 당신은 무엇을 얻고 싶나요? 그리고 무엇을 잃고 싶지 않나요?
relationships,人間関係,Relationships,人际关系,인간관계,1,その問いは相手の問題に見えて、実際にはあなたの期待の形を映しているかもしれません。あなたはその関係に何を求めていましたか。,"This may look like the other person’s problem, but it may actually reflect the shape of your expectations. What were you seeking in that relationship?",这个问题看似是对方的问题，实际上也许映照的是你的期待形状。你曾在这段关系里寻求什么？,"이 질문은 상대의 문제처럼 보이지만, 실제로는 당신의 기대가 어떤 모양이었는지를 비출 수도 있습니다. 그 관계에서 당신은 무엇을 원했나요?"
relationships,人間関係,Relationships,人际关系,인간관계,2,関係の摩擦は、価値観の違いだけでなく、境界線の曖昧さからも生まれます。今のあなたに必要なのは理解ですか。それとも距離ですか。,"Friction in relationships comes not only from different values, but also from blurred boundaries. What do you need now: understanding, or distance?",关系中的摩擦，不只来自价值观不同，也来自边界模糊。此刻你需要的是理解，还是距离？,"관계의 마찰은 가치관의 차이뿐 아니라 경계의 흐릿함에서도 생깁니다. 지금 당신에게 필요한 것은 이해인가요, 아니면 거리인가요?"
relationships,人間関係,Relationships,人际关系,인간관계,3,人との関係では、『伝えたこと』と『伝わったこと』は同じではありません。あなたは何を言いましたか。そして相手には何が届いたと思いますか。,"In relationships, what you said and what was received are not the same. What did you say, and what do you think actually reached the other person?",在人际关系里，“说出口的话”和“被对方接收到的东西”并不相同。你说了什么？你认为真正传达到对方那里的又是什么？,사람과의 관계에서는 ‘말한 것’과 ‘전달된 것’이 같지 않습니다. 당신은 무엇을 말했나요? 그리고 상대에게는 무엇이 닿았다고 생각하나요?
fear,恐れと不安,Fear & Anxiety,恐惧与不安,두려움과 불안,1,その恐れは現実の危険ですか。それとも、まだ起きていない未来の予測ですか。まずそこを区別する必要があります。,"Is that fear a real danger, or a prediction about a future that has not happened yet? That distinction matters first.",那份恐惧是现实中的危险，还是对尚未发生未来的预测？首先需要分清这一点。,"그 두려움은 실제 위험인가요, 아니면 아직 일어나지 않은 미래에 대한 예측인가요? 먼저 그것을 구분할 필요가 있습니다."
fear,恐れと不安,Fear & Anxiety,恐惧与不安,두려움과 불안,2,恐れはただの弱さではなく、何かを守る反応でもあります。あなたはその恐れの奥で、何を守ろうとしているのでしょう。,Fear is not only weakness; it is also a protective response. What are you trying to protect beneath it?,恐惧不仅仅是软弱，它也是一种保护反应。在那份恐惧的深处，你正试图守护什么？,두려움은 단순한 약함이 아니라 무언가를 지키려는 반응이기도 합니다. 그 두려움의 밑바닥에서 당신은 무엇을 지키려 하나요?
fear,恐れと不安,Fear & Anxiety,恐惧与不安,두려움과 불안,3,『怖い』という感情の中には、失敗、拒絶、喪失など複数の要素が混ざっていることがあります。今感じている恐れを、ひとつに絞るとしたら何ですか。,"The feeling of fear often contains several elements at once—failure, rejection, loss. If you had to narrow your fear down to one thing, what would it be?",“害怕”这种感受里，常常混杂着失败、被拒绝、失去等多种因素。如果要把你此刻的恐惧缩成一个核心，那会是什么？,"‘무섭다’는 감정 안에는 실패, 거절, 상실 같은 여러 요소가 섞여 있을 수 있습니다. 지금 느끼는 두려움을 하나로 좁힌다면 무엇인가요?"
hope,希望と夢,Hope & Dream,希望与梦想,희망과 꿈,1,希望は大きさよりも持続の仕方が重要です。今のあなたに必要なのは、強い光ですか。それとも消えない小さな光ですか。,"With hope, its durability matters more than its size. What do you need now: a strong light, or a small one that does not go out?",对于希望来说，重要的不是它有多大，而是它能否持续。此刻你需要的是强烈的光，还是一束不会熄灭的小光？,"희망은 크기보다 지속되는 방식이 중요합니다. 지금 당신에게 필요한 것은 강한 빛인가요, 아니면 꺼지지 않는 작은 빛인가요?"
hope,希望と夢,Hope & Dream,希望与梦想,희망과 꿈,2,あなたが希望と呼んでいるものは、現実的な見通しですか。それとも、まだ言葉にできない願いですか。区別すると輪郭が見えます。,"What you call hope—Is it a realistic outlook, or a wish you cannot yet put into words? Distinguishing them may sharpen the outline.",你所称为“希望”的东西，是现实可见的前景，还是还说不清楚的愿望？区分它们，也许能让轮廓更清晰。,"당신이 희망이라고 부르는 것은 현실적인 전망인가요, 아니면 아직 말이 되지 않은 바람인가요? 구분해 보면 윤곽이 또렷해질 수 있습니다."
hope,希望と夢,Hope & Dream,希望与梦想,희망과 꿈,3,希望を失ったように感じるときでも、実際には期待の形が変わっているだけの場合があります。今のあなたは、何をもう期待していないのでしょう。,"Even when hope seems lost, sometimes only the form of expectation has changed. What is it that you are no longer expecting now?",即使你感觉自己失去了希望，有时也只是“期待的形状”改变了而已。此刻的你，已经不再期待什么了？,"희망을 잃은 것처럼 느껴질 때에도, 실제로는 기대의 형태만 달라진 경우가 있습니다. 지금의 당신은 무엇을 더는 기대하지 않나요?"
time,時間,Time,时间,시간,1,時間の問いは、過去・現在・未来のどこに意識が偏っているかを映します。今のあなたは、どの時間に最も縛られていますか。,"Questions about time reveal whether your awareness leans toward the past, present, or future. Which one holds you most strongly right now?",关于时间的问题，会映照出你的意识更偏向过去、现在还是未来。此刻最束缚你的，是哪一个时间层面？,"시간에 대한 질문은 의식이 과거, 현재, 미래 중 어디로 기울어 있는지를 비춥니다. 지금 당신을 가장 강하게 붙드는 것은 어느 시간인가요?"
time,時間,Time,时间,시간,2,『遅い』『もう遅い』という感覚は、客観的事実ではなく比較から生まれることがあります。あなたは何と比べてそう感じていますか。,"The feeling of being 'late' often comes not from objective fact, but from comparison. Compared to what do you feel that way?",“晚了”“已经太迟了”这种感觉，往往并不是客观事实，而是比较出来的。你是在和什么相比，才会这样觉得？,"‘늦었다’, ‘이미 늦었다’는 감각은 객관적 사실보다 비교에서 생겨나는 경우가 많습니다. 당신은 무엇과 비교하며 그렇게 느끼고 있나요?"
time,時間,Time,时间,시간,3,時間は量だけでなく、体験の密度でも変わります。今のあなたに足りないのは時間そのものですか。それとも、余白でしょうか。,"Time changes not only by quantity, but by density of experience. What are you lacking now: time itself, or room within it?",时间改变的，不只是数量，也有体验的密度。此刻你真正缺少的是时间本身，还是其中的留白？,"시간은 양뿐 아니라 체험의 밀도에 따라서도 달라집니다. 지금 당신에게 부족한 것은 시간 그 자체인가요, 아니면 그 안의 여백인가요?"
society,社会,Society,社会,사회,1,その問いは個人の問題に見えて、実際には構造の問題かもしれません。いま見ている困難は、誰の責任として語られていますか。,"This may appear to be a personal issue, but it may actually be structural. As whose responsibility is this difficulty being described?",这个问题看似是个人问题，实际上也许是结构性问题。你眼前的困难，此刻被叙述成是谁的责任？,"이 질문은 개인의 문제처럼 보이지만, 실제로는 구조의 문제일 수 있습니다. 지금 보고 있는 어려움은 누구의 책임으로 말해지고 있나요?"
society,社会,Society,社会,사회,2,社会を語るとき、私たちはしばしば『誰か』を主語にします。しかし、主語を『自分』に戻すと何が見えてきますか。,"When talking about society, we often use 'someone' as the subject. If you return the subject to yourself, what comes into view?",谈论社会时，我们往往会把“某些人”当作主语。但如果把主语重新放回“自己”，会看见什么？,사회를 말할 때 우리는 종종 ‘누군가’를 주어로 삼습니다. 그러나 주어를 ‘나’로 되돌리면 무엇이 보이나요?
society,社会,Society,社会,사회,3,公平や不公平の感覚は、事実そのものより基準の違いから生まれることがあります。あなたは何を基準にして、その社会を見ていますか。,The sense of fairness or unfairness often comes less from facts than from differing standards. By what standard are you viewing that society?,公平或不公平的感受，往往并不只来自事实本身，而是来自标准的不同。你是以什么标准在看待那个社会？,공정함과 불공정함의 감각은 사실 그 자체보다 기준의 차이에서 생겨나는 경우가 많습니다. 당신은 어떤 기준으로 그 사회를 보고 있나요?
freedom,自由,Freedom,自由,자유,1,自由とは『制限がないこと』ではなく、『何を引き受けるかを選べること』かもしれません。あなたは何から自由になりたいのですか。,"Freedom may not mean the absence of limits, but the ability to choose what to take on. What is it that you want to be free from?",自由也许并不是“没有限制”，而是“能够选择自己愿意承担什么”。你想从什么之中获得自由？,자유는 ‘제한이 없는 상태’가 아니라 ‘무엇을 감당할지 선택할 수 있는 것’일지도 모릅니다. 당신은 무엇으로부터 자유로워지고 싶나요?
