id,role,category,jp,en,zh,kr
1,gen,self_awareness,その問いは『自分をどう見ているか』を映しています。あなたは今、どんな自分を前提にしてこの問いを抱いていますか。もしその前提を外したら、何が残るでしょう。,"This question reflects how you are seeing yourself. What version of yourself are you assuming as you ask it? If that assumption fell away, what would remain?",这个问题映照出你如何看待自己。此刻提出这个问题时，你预设的是怎样的自己？如果那个预设消失了，还会剩下什么？,이 질문은 당신이 자신을 어떻게 보고 있는지를 비춥니다. 지금 이 질문을 붙들고 있는 당신의 전제는 어떤 나인가요? 그 전제가 사라진다면 무엇이 남을까요?
2,gen,self_awareness,あなたが理解したいのは、本当の自分ですか。それとも、他者から見える自分ですか。両者を分けて考えると、問いの輪郭はどう変わりますか。,"What are you trying to understand: your true self, or the self visible to others? If you separate those two, how does the shape of the question change?",你想理解的是“真正的自己”，还是“他人眼中的自己”？如果把这两者分开来看，这个问题的轮廓会怎样改变？,"당신이 이해하고 싶은 것은 진짜 자신인가요, 아니면 타인에게 보이는 자신인가요? 둘을 나누어 본다면 질문의 윤곽은 어떻게 달라질까요?"
3,gen,self_awareness,『自分らしさ』は固定されたものではなく、状況によって変化します。今のあなたを最も強く形づくっている要素は何でしょう。,Your sense of self is not fixed; it shifts with context. What is the strongest element shaping who you are right now?,“像自己”并不是固定不变的，它会随情境而改变。此刻最强烈塑造你的因素是什么？,‘나다움’은 고정된 것이 아니라 상황에 따라 달라집니다. 지금의 당신을 가장 강하게 빚고 있는 요소는 무엇일까요?
4,gen,meaning,その問いは『人生に意味があるべきだ』という前提を含んでいます。もし意味が先にあるのではなく、後から形になるものだとしたら、見え方は変わりますか。,"This question contains the assumption that life should have meaning. If meaning is not something given first, but something shaped afterward, does the view change?",这个问题包含了“人生应该有意义”的前提。如果意义不是一开始就存在，而是在经历中逐渐形成的，视角会改变吗？,"이 질문에는 ‘삶에는 의미가 있어야 한다’는 전제가 담겨 있습니다. 의미가 먼저 주어지는 것이 아니라 나중에 빚어지는 것이라면, 보이는 풍경이 달라질까요?"
5,gen,meaning,あなたは『意味』を結果として求めていますか。それとも、今の行為の中に見いだそうとしていますか。どちらに立つかで答えは変わります。,"Are you seeking meaning as a result, or trying to find it within what you are doing now? Where you stand changes the answer.",你是在把“意义”当作结果去追求，还是试着在当下的行动中发现它？站的位置不同，答案也会不同。,"당신은 ‘의미’를 결과로서 찾고 있나요, 아니면 지금의 행위 속에서 발견하려 하나요? 어느 쪽에 서느냐에 따라 답은 달라집니다."
6,gen,meaning,人生の意味を問うとき、しばしば『何のために』という形になります。しかし、『何によって』生きているかと問うと、別のものが見えるかもしれません。,"When we ask about life’s meaning, we often ask, 'What for?' But if you ask, 'By what am I living?' something different may appear.",问人生意义时，人们常常会问“为了什么”。但如果换成“我是凭借什么活着”，也许会看到不同的东西。,삶의 의미를 물을 때 우리는 종종 ‘무엇을 위해’라고 묻습니다. 하지만 ‘무엇에 의해 살고 있는가’를 묻는다면 다른 것이 보일 수 있습니다.
7,gen,choice,その問いの中心には『選べる自分』がいます。あなたは本当に選択肢を持っていますか。それとも、すでに方向は決まっていて、確認だけを求めていますか。,"At the center of this question is the self who can choose. Do you truly have options, or has the direction already been decided and you are only seeking confirmation?",这个问题的中心，是“能够选择的自己”。你真的拥有选择吗？还是方向其实早已决定，只是在寻求确认？,이 질문의 중심에는 ‘선택할 수 있는 나’가 있습니다. 당신에게 정말 선택지가 있나요? 아니면 이미 방향은 정해져 있고 확인만 바라고 있나요?
8,gen,choice,選ばなかった道は、しばしば実際以上に美しく見えます。あなたが今見ているのは、現実の選択肢ですか。それとも想像の可能性ですか。,"The path not taken often appears more beautiful than it really is. Are you looking at a real option now, or an imagined possibility?",没有选择的那条路，常常会比现实更显得美好。你现在看到的是现实中的选项，还是想象中的可能性？,"선택하지 않은 길은 실제보다 더 아름답게 보이곤 합니다. 지금 당신이 보고 있는 것은 현실의 선택지인가요, 아니면 상상 속 가능성인가요?"
9,gen,choice,決断の難しさは、何を選ぶかだけでなく、何を失うかにもあります。今のあなたは、何を得たいのですか。そして何を失いたくないのですか。,"The difficulty of decision lies not only in what you choose, but in what you lose. What do you want to gain now, and what do you not want to lose?",做决定之所以困难，不只在于要选什么，也在于会失去什么。此刻你想获得什么？又不想失去什么？,결정의 어려움은 무엇을 고를지뿐 아니라 무엇을 잃을지에도 있습니다. 지금 당신은 무엇을 얻고 싶나요? 그리고 무엇을 잃고 싶지 않나요?
10,gen,relationships,その問いは相手の問題に見えて、実際にはあなたの期待の形を映しているかもしれません。あなたはその関係に何を求めていましたか。,"This may look like the other person’s problem, but it may actually reflect the shape of your expectations. What were you seeking in that relationship?",这个问题看似是对方的问题，实际上也许映照的是你的期待形状。你曾在这段关系里寻求什么？,"이 질문은 상대의 문제처럼 보이지만, 실제로는 당신의 기대가 어떤 모양이었는지를 비출 수도 있습니다. 그 관계에서 당신은 무엇을 원했나요?"
