dataset,id,role,category,jp,en,zh,kr
daily,1,,existence,今あなたにとって本当に大切なものとは何ですか,What is what truly matters to you right now?,此刻，对你来说，真正重要的东西是什么？,지금 당신에게 진정으로 중요한 것은(는) 무엇인가요?
daily,2,,fear,今日のあなたは恐れにどう向き合いますか,How are you facing fear today?,今天，你要如何面对恐惧？,오늘 당신은 두려움에 어떻게 마주하나요?
daily,3,,release,あなたは手放せないものから何を学んでいますか,What is what you cannot let go of teaching you?,你放不下的东西正在教会你什么？,놓지 못하는 것은(는) 당신에게 무엇을 가르치고 있나요?
daily,4,,hope,今のあなたに必要な希望は何ですか,What kind of hope do you need right now?,此刻，你需要怎样的希望？,지금의 당신에게 필요한 희망은(는) 무엇인가요?
daily,5,,relationship,あなたの中で静かに浮かぶ思い出す人は誰ですか,Who quietly comes to mind when you think of the person who comes to mind?,当你想到你想起的那个人时，在你心里静静浮现的是谁？,"문득 떠오르는 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
daily,6,,gratitude,もし少し立ち止まるなら感謝できることをどう見ますか,"If you paused for a moment, how would you look at what you can be grateful for?",如果你稍微停下来，会如何看待你可以感恩的事？,"잠시 멈춘다면, 감사할 수 있는 것을(를) 어떻게 바라보게 될까요?"
daily,7,,reflection,あなたは今の感情を事実として見ていますか それとも解釈として見ていますか,"Are you seeing your feelings right now as fact, or as interpretation?",你看到的你此刻的感受，是事实，还是一种解释？,"당신은 지금의 감정을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
daily,8,,death,今のあなたが正直に感じる死は何ですか,What does death honestly feel like to you right now?,此刻，你诚实地感受到的死亡是什么？,지금의 당신이 솔직하게 느끼는 죽음은(는) 무엇인가요?
daily,9,,silence,あなたは呼吸を感じていますか それとも見過ごしていますか,"Are you sensing your breath, or passing it by?",你是在感受呼吸，还是正在把它忽略过去？,"당신은 호흡을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
daily,10,,identity,今日のあなたにとってなりつつある自分はどんな存在ですか,What kind of presence is the person you are becoming to you today?,今天，对你来说，你正在成为的自己是怎样的存在？,오늘 당신에게 되어 가는 나은(는) 어떤 존재인가요?
daily,11,,existence,あなたの心は自分の人生に何を求めていますか,What is your heart asking of your own life?,你的心向你自己的人生在寻求什么？,당신의 마음은 자기 자신의 삶에 무엇을 바라고 있나요?
daily,12,,fear,今のあなたは不安にどんな名前をつけますか,What name would you give to anxiety right now?,此刻，你会给不安取什么名字？,지금의 당신은 불안에 어떤 이름을 붙이고 싶나요?
