id,role,category,jp,en,zh,kr
1,wa,self_awareness,その感覚は自然なものかもしれません。,That feeling may be completely natural.,这种感觉也许是很自然的。,그 감정은 자연스러운 것일지도 모릅니다.
2,wa,self_awareness,その問いを持つこと自体が大切な一歩かもしれません。,Holding that question may already be an important step.,能够提出这个问题本身就是重要的一步。,그 질문을 품는 것 자체가 중요한 한 걸음일 수 있습니다.
3,wa,self_awareness,今感じていることを少し大切にしてみてください。,Perhaps you can gently hold what you are feeling now.,也许可以温柔地接纳现在的感受。,지금 느끼는 감정을 천천히 받아들여 보세요.
4,wa,meaning,答えを急がなくても大丈夫です。,There is no need to rush an answer.,不必急着得到答案。,답을 서두르지 않아도 괜찮습니다.
5,wa,meaning,その問いにはあなたにとって大切な意味があるのかもしれません。,That question may hold something meaningful for you.,这个问题也许对你有重要的意义。,그 질문에는 당신에게 중요한 의미가 있을지도 모릅니다.
6,wa,meaning,少し静かにその問いを眺めてみてもよいかもしれません。,Perhaps you can quietly sit with the question.,也许可以静静地与这个问题待一会儿。,그 질문을 조용히 바라보는 것도 좋을지 모릅니다.
7,wa,relationships,誰かを思う気持ちはとても人間らしいものです。,Caring about someone is deeply human.,关心他人是一种非常人性的情感。,누군가를 생각하는 마음은 매우 인간적입니다.
8,wa,relationships,その経験もあなたの一部です。,That experience is part of who you are.,那段经历也是你的一部分。,그 경험 또한 당신의 일부입니다.
9,wa,relationships,その思いはきっと無意味ではありません。,That feeling is unlikely to be meaningless.,这种感受大概并不是没有意义的。,그 마음은 결코 의미 없는 것이 아닐 것입니다.
10,wa,fear,恐れを感じることも自然なことです。,Feeling fear is also natural.,感到恐惧也是很自然的事情。,두려움을 느끼는 것도 자연스러운 일입니다.
11,wa,fear,その気持ちは多くの人が感じるものかもしれません。,Many people may feel something similar.,很多人可能也会有类似的感受。,많은 사람들이 비슷한 감정을 느낄 수 있습니다.
12,wa,fear,少し深呼吸してその問いを見つめてみましょう。,Take a breath and gently look at the question.,可以深呼吸一下再看看这个问题。,잠시 숨을 고르고 그 질문을 바라보세요.
13,wa,hope,希望は小さなところから生まれることもあります。,Hope can begin from very small places.,希望有时会从很小的地方开始。,희망은 아주 작은 곳에서 시작되기도 합니다.
14,wa,hope,その問いの中にも光があるかもしれません。,There may be a light inside that question.,这个问题里也许藏着一束光。,그 질문 속에도 작은 빛이 있을지 모릅니다.
15,wa,hope,あなたの歩みには意味があるはずです。,Your path may hold its own meaning.,你的道路也许自有其意义。,당신의 걸음에는 분명 의미가 있을 것입니다.
16,wa,time,時間が答えを運んでくることもあります。,Sometimes time brings answers.,有时候时间会带来答案。,때로는 시간이 답을 가져다줍니다.
17,wa,time,今はただ問いを持つだけでも良いのかもしれません。,Perhaps holding the question is enough for now.,也许现在只需要保留这个问题。,지금은 그 질문을 품는 것만으로도 충분할 수 있습니다.
18,wa,time,少し時間をかけて感じてみてください。,Take some time to feel it.,可以慢慢体会这个问题。,천천히 시간을 두고 느껴보세요.
19,wa,society,その問いはあなただけのものではないかもしれません。,That question may not belong only to you.,这个问题也许并不只属于你。,그 질문은 당신만의 것이 아닐 수도 있습니다.
20,wa,society,多くの人が同じ問いを抱いています。,Many people hold similar questions.,很多人也在思考同样的问题。,많은 사람들이 같은 질문을 품고 있습니다.
21,wa,society,その問いは世界ともつながっているかもしれません。,That question may connect with the world.,这个问题也许与世界相连。,그 질문은 세상과도 연결될지 모릅니다.
22,wa,freedom,あなたには考える自由があります。,You have the freedom to think.,你拥有思考的自由。,당신에게는 생각할 자유가 있습니다.
23,wa,freedom,その問いはあなたの中から生まれました。,That question was born from within you.,这个问题来自你的内心。,그 질문은 당신 안에서 태어났습니다.
24,wa,freedom,あなたの答えはあなた自身のものです。,Your answer belongs to you.,你的答案属于你自己。,당신의 답은 당신 자신의 것입니다.
25,wa,existence,その問いはあなたが生きている証かもしれません。,That question may be proof that you are alive.,这个问题也许是你存在的证明。,그 질문은 당신이 살아 있다는 증거일지도 모릅니다.
26,wa,existence,人は誰もが問いを持って生きています。,Everyone lives with questions.,每个人都带着问题生活。,사람은 누구나 질문을 품고 살아갑니다.
27,wa,existence,その問いを静かに持っていても良いのです。,It is okay to quietly hold that question.,静静地保留这个问题也没有关系。,그 질문을 조용히 간직해도 괜찮습니다.
28,wa,reflection,その問いに静かに向き合ってみてください,You may want to sit quietly with that question.,也许可以静静地面对这个问题。,그 질문을 잠시 조용히 바라보는 것도 좋습니다.
29,wa,reflection,その問いに静かに向き合ってみてください,You may want to sit quietly with that question.,也许可以静静地面对这个问题。,그 질문을 잠시 조용히 바라보는 것도 좋습니다.
30,wa,reflection,その問いに静かに向き合ってみてください,You may want to sit quietly with that question.,也许可以静静地面对这个问题。,그 질문을 잠시 조용히 바라보는 것도 좋습니다.
